content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Bagus banget tanpa sekat, tidak ada kendala. hanya saja promo setiap kiriman belum ada",5,Positif,bagus banget tanpa sekat tidak ada kendala hanya saja promo setiap kiriman belum ada,bagus banget sekat kendala promo kiriman,"['bagus', 'banget', 'sekat', 'kendala', 'promo', 'kiriman']",bagus banget sekat kendala promo kirim
"Nama udah lengkap, alamat tertera dengan jelas, nomor rumah juga ada dan tentunya orang di rumah selalu ada. TAPI, masih aja paket dikasih ke kantor desa. Mana desanya jauh lagi. Udah tahu isinya penting, dokumen sensitif. Bisa-bisanya dikasih ke orang lain. Lawak banget cuy 🤣",1,Negatif,nama udah lengkap alamat tertera dengan jelas nomor rumah juga ada dan tentunya orang di rumah selalu ada tapi masih aja paket dikasih ke kantor desa mana desanya jauh lagi udah tahu isinya penting dokumen sensitif bisabisanya dikasih ke orang lain lawak banget cuy ,nama udah lengkap alamat tertera nomor rumah orang rumah aja paket dikasih kantor desa desanya udah isinya dokumen sensitif bisabisanya dikasih orang lawak banget cuy,"['nama', 'udah', 'lengkap', 'alamat', 'tertera', 'nomor', 'rumah', 'orang', 'rumah', 'aja', 'paket', 'dikasih', 'kantor', 'desa', 'desanya', 'udah', 'isinya', 'dokumen', 'sensitif', 'bisabisanya', 'dikasih', 'orang', 'lawak', 'banget', 'cuy']",nama udah lengkap alamat tera nomor rumah orang rumah aja paket kasih kantor desa desa udah isi dokumen sensitif bisabisanya kasih orang lawak banget cuy
"Aplikasinya bagus, dan sangat membantu",5,Positif,aplikasinya bagus dan sangat membantu,aplikasinya bagus membantu,"['aplikasinya', 'bagus', 'membantu']",aplikasi bagus bantu
Sangat bagus👍👍👍👍👍,5,Positif,sangat bagus,bagus,['bagus'],bagus
Dalam 1 Aplikasi bisa utk semuanya,5,Positif,dalam  aplikasi bisa utk semuanya,aplikasi utk,"['aplikasi', 'utk']",aplikasi utk
Good pos aja,5,Positif,good pos aja,good pos aja,"['good', 'pos', 'aja']",good pos aja
"Aplikasi Terbaik, The Best👍👍👍",4,Positif,aplikasi terbaik the best,aplikasi terbaik the best,"['aplikasi', 'terbaik', 'the', 'best']",aplikasi baik the best
Mau pesen barang tinggal klik order langsung datang orderan yang... Mantap posaja,5,Positif,mau pesen barang tinggal klik order langsung datang orderan yang mantap posaja,pesen barang tinggal klik order langsung orderan mantap posaja,"['pesen', 'barang', 'tinggal', 'klik', 'order', 'langsung', 'orderan', 'mantap', 'posaja']",sen barang tinggal klik order langsung order mantap posaja
Aplikasi yang sangat membantu dalam pengiriman paket dan dokumen,5,Positif,aplikasi yang sangat membantu dalam pengiriman paket dan dokumen,aplikasi membantu pengiriman paket dokumen,"['aplikasi', 'membantu', 'pengiriman', 'paket', 'dokumen']",aplikasi bantu kirim paket dokumen
Pokok nya sangat membantu dach top markotop...👍👍👍👍👍,5,Positif,pokok nya sangat membantu dach top markotop,pokok nya membantu dach top markotop,"['pokok', 'nya', 'membantu', 'dach', 'top', 'markotop']",pokok nya bantu dach top markotop
"Good sangat membantu kami buat jualan online, trimakasih Kantor Pos",5,Positif,good sangat membantu kami buat jualan online trimakasih kantor pos,good membantu jualan online trimakasih kantor pos,"['good', 'membantu', 'jualan', 'online', 'trimakasih', 'kantor', 'pos']",good bantu jual online trimakasih kantor pos
Bagus bermanfaat luar biasa,5,Positif,bagus bermanfaat luar biasa,bagus bermanfaat,"['bagus', 'bermanfaat']",bagus manfaat
Jos pokoknya ..pos aja juara,5,Positif,jos pokoknya pos aja juara,jos pokoknya pos aja juara,"['jos', 'pokoknya', 'pos', 'aja', 'juara']",jos pokok pos aja juara
Saya suka produk pos,5,Positif,saya suka produk pos,suka produk pos,"['suka', 'produk', 'pos']",suka produk pos
PELAYANAN POS SANGAT JELEK SEKALI KHUSUS NYA DAERAH TANAH MERAH BANGKALAN MADURA... KURIR GAK MAU NGANTERIN PAKET. KURIR TANAH MERAH SANGAT BURUK SEKALI,1,Negatif,pelayanan pos sangat jelek sekali khusus nya daerah tanah merah bangkalan madura kurir gak mau nganterin paket kurir tanah merah sangat buruk sekali,pelayanan pos jelek khusus nya daerah tanah merah bangkalan madura kurir gak nganterin paket kurir tanah merah buruk,"['pelayanan', 'pos', 'jelek', 'khusus', 'nya', 'daerah', 'tanah', 'merah', 'bangkalan', 'madura', 'kurir', 'gak', 'nganterin', 'paket', 'kurir', 'tanah', 'merah', 'buruk']",layan pos jelek khusus nya daerah tanah merah bangkal madura kurir gak nganterin paket kurir tanah merah buruk
Mantap tidak kalah dengan yg lain....👍,5,Positif,mantap tidak kalah dengan yg lain,mantap kalah yg,"['mantap', 'kalah', 'yg']",mantap kalah yg
Mantap kali,5,Positif,mantap kali,mantap kali,"['mantap', 'kali']",mantap kali
"Kirim barang tdk perlu keluar rumah, menghemat waktu",5,Positif,kirim barang tdk perlu keluar rumah menghemat waktu,kirim barang tdk rumah menghemat,"['kirim', 'barang', 'tdk', 'rumah', 'menghemat']",kirim barang tdk rumah hemat
Pos memang sangat cepat & amanah dalam tugas pengiriman nya. Sukses terus 🧡,5,Positif,pos memang sangat cepat  amanah dalam tugas pengiriman nya sukses terus ,pos cepat amanah tugas pengiriman nya sukses,"['pos', 'cepat', 'amanah', 'tugas', 'pengiriman', 'nya', 'sukses']",pos cepat amanah tugas kirim nya sukses
"Pakek pos aja enak, nyaman, gampang lagi",5,Positif,pakek pos aja enak nyaman gampang lagi,pakek pos aja enak nyaman gampang,"['pakek', 'pos', 'aja', 'enak', 'nyaman', 'gampang']",pakek pos aja enak nyaman gampang
Muhammaddin,5,Positif,muhammaddin,muhammaddin,['muhammaddin'],muhammaddin
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
bagus,4,Positif,bagus,bagus,['bagus'],bagus
Mau ngaktifin fitur COD kok ferifikasi nggak masuk2 lewat Wa? Udh lama nunggu di kantor,1,Negatif,mau ngaktifin fitur cod kok ferifikasi nggak masuk lewat wa udh lama nunggu di kantor,ngaktifin fitur cod ferifikasi nggak masuk wa udh nunggu kantor,"['ngaktifin', 'fitur', 'cod', 'ferifikasi', 'nggak', 'masuk', 'wa', 'udh', 'nunggu', 'kantor']",ngaktifin fitur cod ferifikasi nggak masuk wa udh nunggu kantor
"mohon pilihan fitur layanannya ditambah dan di upgrade, khususnya ditambahkan fitur layanan pengiriman via kapal laut plus cara cek tarifnya tanpa harus datang secara manual ke kantor pos, terima kasih",2,Negatif,mohon pilihan fitur layanannya ditambah dan di upgrade khususnya ditambahkan fitur layanan pengiriman via kapal laut plus cara cek tarifnya tanpa harus datang secara manual ke kantor pos terima kasih,mohon pilihan fitur layanannya ditambah upgrade fitur layanan pengiriman via kapal laut plus cek tarifnya manual kantor pos terima kasih,"['mohon', 'pilihan', 'fitur', 'layanannya', 'ditambah', 'upgrade', 'fitur', 'layanan', 'pengiriman', 'via', 'kapal', 'laut', 'plus', 'cek', 'tarifnya', 'manual', 'kantor', 'pos', 'terima', 'kasih']",mohon pilih fitur layan tambah upgrade fitur layan kirim via kapal laut plus cek tarif manual kantor pos terima kasih
Ok,5,Positif,ok,ok,['ok'],ok
Ok,5,Positif,ok,ok,['ok'],ok
Aman dan tepat waktu,5,Positif,aman dan tepat waktu,aman,['aman'],aman
Mememudahkan untuk kebutuhan layanan sehari hari,5,Positif,mememudahkan untuk kebutuhan layanan sehari hari,mememudahkan kebutuhan layanan sehari,"['mememudahkan', 'kebutuhan', 'layanan', 'sehari']",mudah butuh layan hari
bagus pos sekarang cepat pengirimannya,5,Positif,bagus pos sekarang cepat pengirimannya,bagus pos cepat pengirimannya,"['bagus', 'pos', 'cepat', 'pengirimannya']",bagus pos cepat kirim
sangat amanah. meski reguler serasa kilat . ayo lebih amanah pasti banyak yg suka.,5,Positif,sangat amanah meski reguler serasa kilat  ayo lebih amanah pasti banyak yg suka,amanah reguler serasa kilat ayo amanah yg suka,"['amanah', 'reguler', 'serasa', 'kilat', 'ayo', 'amanah', 'yg', 'suka']",amanah reguler serasa kilat ayo amanah yg suka
Berpengalaman Proses aman dan terpercaya,5,Positif,berpengalaman proses aman dan terpercaya,berpengalaman proses aman terpercaya,"['berpengalaman', 'proses', 'aman', 'terpercaya']",alam proses aman percaya
Lebih mudah bertransaksi,5,Positif,lebih mudah bertransaksi,mudah bertransaksi,"['mudah', 'bertransaksi']",mudah transaksi
👍,5,Positif,,,[],
pengiriman cepat dan dana cepat masuk,5,Positif,pengiriman cepat dan dana cepat masuk,pengiriman cepat dana cepat masuk,"['pengiriman', 'cepat', 'dana', 'cepat', 'masuk']",kirim cepat dana cepat masuk
"Trimakasih pelayanan yg diberikan,adminya gercep bila ada customer minta bantuan,semoga pelayanan semakin baik dan merata tanpa pilihan diseluruh indonesia bahlan luar negri.",5,Positif,trimakasih pelayanan yg diberikanadminya gercep bila ada customer minta bantuansemoga pelayanan semakin baik dan merata tanpa pilihan diseluruh indonesia bahlan luar negri,trimakasih pelayanan yg diberikanadminya gercep customer bantuansemoga pelayanan merata pilihan diseluruh indonesia bahlan negri,"['trimakasih', 'pelayanan', 'yg', 'diberikanadminya', 'gercep', 'customer', 'bantuansemoga', 'pelayanan', 'merata', 'pilihan', 'diseluruh', 'indonesia', 'bahlan', 'negri']",trimakasih layan yg diberikanadminya gercep customer bantuansemoga layan rata pilih seluruh indonesia bahlan negri
"Mohon ditingkatkan LG apknya. Agar lebih praktis,mudah dan cepat untuk dipelajari nya.... Go...go...go...",5,Positif,mohon ditingkatkan lg apknya agar lebih praktismudah dan cepat untuk dipelajari nya gogogo,mohon ditingkatkan lg apknya praktismudah cepat dipelajari nya gogogo,"['mohon', 'ditingkatkan', 'lg', 'apknya', 'praktismudah', 'cepat', 'dipelajari', 'nya', 'gogogo']",mohon tingkat lg apknya praktismudah cepat ajar nya gogogo
Oke mantap !!!,5,Positif,oke mantap ,oke mantap,"['oke', 'mantap']",oke mantap
"Lha ini login nya dimana kok hanya tulisan daftar, wes angel wes angel...",1,Negatif,lha ini login nya dimana kok hanya tulisan daftar wes angel wes angel,lha login nya dimana tulisan daftar wes angel wes angel,"['lha', 'login', 'nya', 'dimana', 'tulisan', 'daftar', 'wes', 'angel', 'wes', 'angel']",lha login nya mana tulis daftar wes angel wes angel
ok,5,Positif,ok,ok,['ok'],ok
Sak Josss e,5,Positif,sak josss e,sak josss e,"['sak', 'josss', 'e']",sak josss e
Sukses Terus,5,Positif,sukses terus,sukses,['sukses'],sukses
Lebih murah mudah yg pasti aman,4,Positif,lebih murah mudah yg pasti aman,murah mudah yg aman,"['murah', 'mudah', 'yg', 'aman']",murah mudah yg aman
apik tenan,4,Positif,apik tenan,apik tenan,"['apik', 'tenan']",apik tenan
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
3 kalinya sy dikecewakan oleh ini aplikasi sdh sy dounload.lupa pasword jadi ngak bs dipakek lagi..hrs datang ke kantor pusat.klu ingin mengunakan 2 kali paket sy diretur dgn alasan alamat tdk dikenal.kenapa diterima pihak pos klu alamat nya tdk dikenal..kan ada no Wanya penerima dan sipenerima menghubungi kita trs mempertanyakan paketnya.pengirim yg dirugikan.mana uang ongkir jasa ngak bs kembali lagi...tolong lah diperbaiki kinerja nya..sy berusaha setia dgn pos biar ngak sepi antaranya,2,Negatif, kalinya sy dikecewakan oleh ini aplikasi sdh sy dounloadlupa pasword jadi ngak bs dipakek lagihrs datang ke kantor pusatklu ingin mengunakan  kali paket sy diretur dgn alasan alamat tdk dikenalkenapa diterima pihak pos klu alamat nya tdk dikenalkan ada no wanya penerima dan sipenerima menghubungi kita trs mempertanyakan paketnyapengirim yg dirugikanmana uang ongkir jasa ngak bs kembali lagitolong lah diperbaiki kinerja nyasy berusaha setia dgn pos biar ngak sepi antaranya,kalinya sy dikecewakan aplikasi sdh sy dounloadlupa pasword ngak bs dipakek lagihrs kantor pusatklu mengunakan kali paket sy diretur dgn alasan alamat tdk dikenalkenapa diterima pos klu alamat nya tdk dikenalkan no wanya penerima sipenerima menghubungi trs paketnyapengirim yg dirugikanmana uang ongkir jasa ngak bs lagitolong diperbaiki kinerja nyasy berusaha setia dgn pos biar ngak sepi,"['kalinya', 'sy', 'dikecewakan', 'aplikasi', 'sdh', 'sy', 'dounloadlupa', 'pasword', 'ngak', 'bs', 'dipakek', 'lagihrs', 'kantor', 'pusatklu', 'mengunakan', 'kali', 'paket', 'sy', 'diretur', 'dgn', 'alasan', 'alamat', 'tdk', 'dikenalkenapa', 'diterima', 'pos', 'klu', 'alamat', 'nya', 'tdk', 'dikenalkan', 'no', 'wanya', 'penerima', 'sipenerima', 'menghubungi', 'trs', 'paketnyapengirim', 'yg', 'dirugikanmana', 'uang', 'ongkir', 'jasa', 'ngak', 'bs', 'lagitolong', 'diperbaiki', 'kinerja', 'nyasy', 'berusaha', 'setia', 'dgn', 'pos', 'biar', 'ngak', 'sepi']",kali sy kecewa aplikasi sdh sy dounloadlupa pasword ngak bs dipakek lagihrs kantor pusatklu mengunakan kali paket sy retur dgn alas alamat tdk dikenalkenapa terima pos klu alamat nya tdk kenal no wanya terima sipenerima hubung trs paketnyapengirim yg dirugikanmana uang ongkir jasa ngak bs lagitolong baik kerja nyasy usaha setia dgn pos biar ngak sepi
Kasih bintang 4 dulu,4,Positif,kasih bintang  dulu,kasih bintang,"['kasih', 'bintang']",kasih bintang
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
Suka.. Cuma blm bisa utk cek lacak keberadaan posisi barang,5,Positif,suka cuma blm bisa utk cek lacak keberadaan posisi barang,suka blm utk cek lacak keberadaan posisi barang,"['suka', 'blm', 'utk', 'cek', 'lacak', 'keberadaan', 'posisi', 'barang']",suka blm utk cek lacak ada posisi barang
"Sangat membantu dlm orderan online saya, dan dpet poin trus sangat mudah dan cepat dlm proses kirimnya.. top bgt lah, maju terus pt pos indonesia 👍👍👍",5,Positif,sangat membantu dlm orderan online saya dan dpet poin trus sangat mudah dan cepat dlm proses kirimnya top bgt lah maju terus pt pos indonesia ,membantu dlm orderan online dpet poin trus mudah cepat dlm proses kirimnya top bgt maju pt pos indonesia,"['membantu', 'dlm', 'orderan', 'online', 'dpet', 'poin', 'trus', 'mudah', 'cepat', 'dlm', 'proses', 'kirimnya', 'top', 'bgt', 'maju', 'pt', 'pos', 'indonesia']",bantu dlm order online dpet poin trus mudah cepat dlm proses kirim top bgt maju pt pos indonesia
"Mudah dan simple, tidak bertele-tele...mantap bosku...",5,Positif,mudah dan simple tidak berteletelemantap bosku,mudah simple berteletelemantap bosku,"['mudah', 'simple', 'berteletelemantap', 'bosku']",mudah simple berteletelemantap bos
Belum pernah daftar tapi nomer ponsel sudah terdaftar,4,Positif,belum pernah daftar tapi nomer ponsel sudah terdaftar,daftar nomer ponsel terdaftar,"['daftar', 'nomer', 'ponsel', 'terdaftar']",daftar nomer ponsel daftar
Bagus,5,Positif,bagus,bagus,['bagus'],bagus
Bagus aplikasi ..bisa buat kiriman,5,Positif,bagus aplikasi bisa buat kiriman,bagus aplikasi kiriman,"['bagus', 'aplikasi', 'kiriman']",bagus aplikasi kirim
Simpel dan praktis dan terjangkau di seluruh Indonesia,5,Positif,simpel dan praktis dan terjangkau di seluruh indonesia,simpel praktis terjangkau indonesia,"['simpel', 'praktis', 'terjangkau', 'indonesia']",simpel praktis jangkau indonesia
Tingkatkan terus pelayanan yang diberikan,5,Positif,tingkatkan terus pelayanan yang diberikan,tingkatkan pelayanan,"['tingkatkan', 'pelayanan']",tingkat layan
Semoga dapat kemudahan bagi kami yang jauh dari kantor pos.,5,Positif,semoga dapat kemudahan bagi kami yang jauh dari kantor pos,semoga kemudahan kantor pos,"['semoga', 'kemudahan', 'kantor', 'pos']",moga mudah kantor pos
ok,5,Positif,ok,ok,['ok'],ok
Very good,5,Positif,very good,very good,"['very', 'good']",very good
Pos Aja pilihan tepat dan aman untuk kirim kirim paket harian ataupun data penting,5,Positif,pos aja pilihan tepat dan aman untuk kirim kirim paket harian ataupun data penting,pos aja pilihan aman kirim kirim paket harian data,"['pos', 'aja', 'pilihan', 'aman', 'kirim', 'kirim', 'paket', 'harian', 'data']",pos aja pilih aman kirim kirim paket hari data
Good,5,Positif,good,good,['good'],good
aplikasi yg sangat membantu saat ingin kirim paket dikantor pos..smg pos smkn jaya dan sukses,5,Positif,aplikasi yg sangat membantu saat ingin kirim paket dikantor possmg pos smkn jaya dan sukses,aplikasi yg membantu kirim paket dikantor possmg pos smkn jaya sukses,"['aplikasi', 'yg', 'membantu', 'kirim', 'paket', 'dikantor', 'possmg', 'pos', 'smkn', 'jaya', 'sukses']",aplikasi yg bantu kirim paket kantor possmg pos smkn jaya sukses
Amazing amazing amazing emang posaja bisa diandalkan kirim paket jdi lebih gampang dgn adanya partner Opick (O-ranger pick up) #Cuakz,5,Positif,amazing amazing amazing emang posaja bisa diandalkan kirim paket jdi lebih gampang dgn adanya partner opick oranger pick up cuakz,amazing amazing amazing emang posaja diandalkan kirim paket jdi gampang dgn partner opick oranger pick up cuakz,"['amazing', 'amazing', 'amazing', 'emang', 'posaja', 'diandalkan', 'kirim', 'paket', 'jdi', 'gampang', 'dgn', 'partner', 'opick', 'oranger', 'pick', 'up', 'cuakz']",amazing amazing amazing emang posaja andal kirim paket jdi gampang dgn partner opick oranger pick up cuakz
pos aja memang top,5,Positif,pos aja memang top,pos aja top,"['pos', 'aja', 'top']",pos aja top
Good apps,5,Positif,good apps,good apps,"['good', 'apps']",good apps
Sangat Membantu...,5,Positif,sangat membantu,membantu,['membantu'],bantu
Tingkat kan kwalitas nya,5,Positif,tingkat kan kwalitas nya,tingkat kwalitas nya,"['tingkat', 'kwalitas', 'nya']",tingkat kwalitas nya
aplikasi posaja sangat simpel dan sangat membantu untuk proses pengiriman,5,Positif,aplikasi posaja sangat simpel dan sangat membantu untuk proses pengiriman,aplikasi posaja simpel membantu proses pengiriman,"['aplikasi', 'posaja', 'simpel', 'membantu', 'proses', 'pengiriman']",aplikasi posaja simpel bantu proses kirim
Mantap pos aja👍👍,5,Positif,mantap pos aja,mantap pos aja,"['mantap', 'pos', 'aja']",mantap pos aja
Sangat membantu untuk pelacakan kiriman dan mengetahui ongkir jg sangat membantu,5,Positif,sangat membantu untuk pelacakan kiriman dan mengetahui ongkir jg sangat membantu,membantu pelacakan kiriman ongkir jg membantu,"['membantu', 'pelacakan', 'kiriman', 'ongkir', 'jg', 'membantu']",bantu lacak kirim ongkir jg bantu
very good,5,Positif,very good,very good,"['very', 'good']",very good
Bugus mapermudah,5,Positif,bugus mapermudah,bugus mapermudah,"['bugus', 'mapermudah']",bugus mapermudah
Bgus kok bisa nglacak paket dngan bnar,5,Positif,bgus kok bisa nglacak paket dngan bnar,bgus nglacak paket dngan bnar,"['bgus', 'nglacak', 'paket', 'dngan', 'bnar']",bgus nglacak paket dngan bnar
The best pos aja,5,Positif,the best pos aja,the best pos aja,"['the', 'best', 'pos', 'aja']",the best pos aja
kerenn aplikasinya,5,Positif,kerenn aplikasinya,kerenn aplikasinya,"['kerenn', 'aplikasinya']",kerenn aplikasi
Bagus,5,Positif,bagus,bagus,['bagus'],bagus
ok,5,Positif,ok,ok,['ok'],ok
Ini gimana registrasi mau masukin kode verifikasi aja gk bisa,1,Negatif,ini gimana registrasi mau masukin kode verifikasi aja gk bisa,gimana registrasi masukin kode verifikasi aja gk,"['gimana', 'registrasi', 'masukin', 'kode', 'verifikasi', 'aja', 'gk']",gimana registrasi masukin kode verifikasi aja gk
Sementara 4 dulu,4,Positif,sementara  dulu,,[],
"Terimakasih pos indonesia, paket saya 6 hari sudah sampai taiwan aman dan cepat, proses tidak berbelit belit",5,Positif,terimakasih pos indonesia paket saya  hari sudah sampai taiwan aman dan cepat proses tidak berbelit belit,terimakasih pos indonesia paket taiwan aman cepat proses berbelit belit,"['terimakasih', 'pos', 'indonesia', 'paket', 'taiwan', 'aman', 'cepat', 'proses', 'berbelit', 'belit']",terimakasih pos indonesia paket taiwan aman cepat proses belit belit
Apk gak guna. Awas uang endap an 10k Kaya bank aja.,1,Negatif,apk gak guna awas uang endap an k kaya bank aja,apk gak awas uang endap an k kaya bank aja,"['apk', 'gak', 'awas', 'uang', 'endap', 'an', 'k', 'kaya', 'bank', 'aja']",apk gak awas uang endap an k kaya bank aja
Pelayanan cepat,5,Positif,pelayanan cepat,pelayanan cepat,"['pelayanan', 'cepat']",layan cepat
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
mantap,4,Positif,mantap,mantap,['mantap'],mantap
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
Kode Verifikasi salah terus. Gak mutu,1,Negatif,kode verifikasi salah terus gak mutu,kode verifikasi salah gak mutu,"['kode', 'verifikasi', 'salah', 'gak', 'mutu']",kode verifikasi salah gak mutu
Moga bermanfaat n dipermudahkan dlm kirim mengirim paket,4,Positif,moga bermanfaat n dipermudahkan dlm kirim mengirim paket,moga bermanfaat n dipermudahkan dlm kirim mengirim paket,"['moga', 'bermanfaat', 'n', 'dipermudahkan', 'dlm', 'kirim', 'mengirim', 'paket']",moga manfaat n mudah dlm kirim kirim paket
Baik Sekali,5,Positif,baik sekali,,[],
Solusi terbaik dan termudah untuk pengiriman barang tanpa ribet,5,Positif,solusi terbaik dan termudah untuk pengiriman barang tanpa ribet,solusi terbaik termudah pengiriman barang ribet,"['solusi', 'terbaik', 'termudah', 'pengiriman', 'barang', 'ribet']",solusi baik mudah kirim barang ribet
Bagus banget 👍👍👍,5,Positif,bagus banget ,bagus banget,"['bagus', 'banget']",bagus banget
"Untuk pengiriman lumayan bagus.. Tapi kebijakan soal volume barang terlalu minim.. jadi memberatkan biaya ongkir.. Kalau kebijakannya tetap seperti itu.. kami yakin kantor akan ditinggalkan konsumen,.. Harusnya bisa bersaing dg kompetitor yg lain.. jangan memberikn kebijakan yg merugikan olshop & konsumen.. Semoga kebijakan seperti itu di pertimbangkan kembali.. mengingat pesaing expedisi yg lain semakin banyak 🙏",3,Netral,untuk pengiriman lumayan bagus tapi kebijakan soal volume barang terlalu minim jadi memberatkan biaya ongkir kalau kebijakannya tetap seperti itu kami yakin kantor akan ditinggalkan konsumen harusnya bisa bersaing dg kompetitor yg lain jangan memberikn kebijakan yg merugikan olshop  konsumen semoga kebijakan seperti itu di pertimbangkan kembali mengingat pesaing expedisi yg lain semakin banyak ,pengiriman lumayan bagus kebijakan volume barang minim memberatkan biaya ongkir kebijakannya kantor ditinggalkan konsumen bersaing dg kompetitor yg memberikn kebijakan yg merugikan olshop konsumen semoga kebijakan pertimbangkan pesaing expedisi yg,"['pengiriman', 'lumayan', 'bagus', 'kebijakan', 'volume', 'barang', 'minim', 'memberatkan', 'biaya', 'ongkir', 'kebijakannya', 'kantor', 'ditinggalkan', 'konsumen', 'bersaing', 'dg', 'kompetitor', 'yg', 'memberikn', 'kebijakan', 'yg', 'merugikan', 'olshop', 'konsumen', 'semoga', 'kebijakan', 'pertimbangkan', 'pesaing', 'expedisi', 'yg']",kirim lumayan bagus bijak volume barang minim berat biaya ongkir bijak kantor tinggal konsumen saing dg kompetitor yg memberikn bijak yg rugi olshop konsumen moga bijak timbang saing expedisi yg
Ok,5,Positif,ok,ok,['ok'],ok
Saya sudah download dan register PosAja ..semoga saya dapat give away dri posaja.. Sy sudah komen melalui instagram Annisarar_rubbymaura..sukses slalu utk PosAja...,5,Positif,saya sudah download dan register posaja semoga saya dapat give away dri posaja sy sudah komen melalui instagram annisararrubbymaurasukses slalu utk posaja,download register posaja semoga give away dri posaja sy komen instagram annisararrubbymaurasukses slalu utk posaja,"['download', 'register', 'posaja', 'semoga', 'give', 'away', 'dri', 'posaja', 'sy', 'komen', 'instagram', 'annisararrubbymaurasukses', 'slalu', 'utk', 'posaja']",download register posaja moga give away dri posaja sy komen instagram annisararrubbymaurasukses slalu utk posaja
Ok,5,Positif,ok,ok,['ok'],ok
Mantaaap,5,Positif,mantaaap,mantaaap,['mantaaap'],mantaaap
Good,5,Positif,good,good,['good'],good
udah diupdate hser id gak muncul aplikasi coba2,1,Negatif,udah diupdate hser id gak muncul aplikasi coba,udah diupdate hser id gak muncul aplikasi coba,"['udah', 'diupdate', 'hser', 'id', 'gak', 'muncul', 'aplikasi', 'coba']",udah diupdate hser id gak muncul aplikasi coba
Sangat bermanfaat,5,Positif,sangat bermanfaat,bermanfaat,['bermanfaat'],manfaat
Mengakomodir kebutuhan pengiriman,5,Positif,mengakomodir kebutuhan pengiriman,mengakomodir kebutuhan pengiriman,"['mengakomodir', 'kebutuhan', 'pengiriman']",mengakomodir butuh kirim
Ok,5,Positif,ok,ok,['ok'],ok
🥰🥰🥰🥰🥰🥰🥰🥰🥰 Bismillah bismillah,5,Positif, bismillah bismillah,bismillah bismillah,"['bismillah', 'bismillah']",bismillah bismillah
