content,score,Label
Mantab...banyak perubahan..bisa bersaing dengan kiriman lain...tp pos aja...jauh lebih unggul dalam layanan dan harga,5,Positif
Mengecewakan setelah diupdate,1,Negatif
"Amazing Dalam satu genggaman ,, tangan",5,Positif
"Sangat bermanfaat,pengiriman bagus dan biayanya ekonomis",5,Positif
"Pelayanan semakin cepat, jam buka sampai malam 7 hari dalam seminggu",5,Positif
"Pos Indonesia sangat cepat soal pengiriman nya , pelayanan pun ramah, ada asuransi nya pun sangat murah.in the best pos Indonesia.kurirnya pun tidak ada yang nakal.2-3 hari sampai.semoga kinerja nya di pertahankan terus.jgn lembek ttp semangat mksi buat pos Indonesia dan staffnya 🙏🙏🙏",5,Positif
Mantap bossku,5,Positif
Suka,5,Positif
"Aplikasi nya bagus,bnyk mnfaat nya.. sukses selalu posaja🤗",5,Positif
Sudah oke ni aplikasi. Tingal lebih ditingkatkan lagi,5,Positif
"Sudah 2 hari setelah update, malah gk bisa masuk di akun sebelumnya. Nunggu kode verifikasi katanya sudah dikirim melalu sms & wa tapi gk muncul.",3,Netral
👌,5,Positif
"Mudah digunakan, dan harus lebih baik lagi",5,Positif
"Ini biji Mane minta update , setelah di update malahan gak bisa masuk ke pos aja padahal sandi udah bener noh..... Buju buneeeeengggg... Bijii lah min....",1,Negatif
Canggih,5,Positif
Good,5,Positif
Makin lengkap dan keren daah...,5,Positif
Mantap!! Mempermudah transaksi,5,Positif
"Ini gimana mau masuk kata sandi sudah bener di keterangan id/user tidak ditemukan? Trs suruh upgrade, sudah di upgrade tetep gak bisa. Sudah pulihkan akun, gak ada kode SMS/WA yg masuk. Ini mau dipakai buat ngisi data COD, sudah WA ke CS nya gak direspon. Harus komplen ke siapa? Tolong diperbaiki, jika ada gangguan diberitahu. Jangan seperti inilah, kita kan mau dipakai buat jualan.",1,Negatif
Mantap juara,5,Positif
Luar biasa .pos aplikasi nya makin maju saja.sangat membantu dalam melacak kiriman,5,Positif
Mantap👍👍,5,Positif
Bermanfaat sekali 🧡,5,Positif
Pos aja wow mantap!,5,Positif
Sangat membantu sekali untuk pengiriman,5,Positif
Sangan bagus,5,Positif
"Menu pos instant blm bisa dipakai,",5,Positif
Bagus,5,Positif
Bisa mempermudah proses pengantaran dan cek ongkir 😁🥰,5,Positif
Keren,5,Positif
Sangat membantu,5,Positif
Bismillah smoga rezeki bisa beli bahan2 untuk usaha kecil kecilan aminnnn ya allah🥺🙏🤲🤲🤲🤲🤲💖,5,Positif
Mantap,5,Positif
"Melayani sepenuh hati, tanpa basa basi. PosAja keren...",5,Positif
👍,3,Netral
baik,5,Positif
Bagus cepat,5,Positif
Baik,3,Netral
Selalu puas dlm segala pelayanan pos,5,Positif
"segala urusan lebih dipermudah dengan layanan yang cepat dan mudah, gak ribet. terima kasih #posaja",5,Positif
"Baru liat lagi pos, setelah sekian lama ngg ngirim ngirim surat dan barang lagi ke pos, mudah mudahan ke depanny bisa lewat pos lagi😊",5,Positif
Keren,5,Positif
Bagus 👍,5,Positif
"Pelayanan pos sudah lebih baik dan modern. Bisa input alamat sendiri dan simpan data. Sayang di daftar alamat belum rapi textnya, susah cari favorit. Dan fitur lacak kiriman blm terintegrasi dari history. Semoga update brkut sudah lbh baik",4,Positif
Kebanyakan aplikasi,1,Negatif
Setelah Update Poin tidak dapat di redeem... padahal itu daya tarik pengguna 🥴🥴🥴,1,Negatif
Kembali ke 5 krn udah sinkron,5,Positif
"Sangat Baik, Karyawannya Ramah sekali 😊",5,Positif
"kenapa setelah di update malahan gak bisa di gunakan,,akun dipulihkan gak bisa,,keterangan email tidak valid,padahal no ponsel sama email sudah benar",1,Negatif
Bagus pt pos melayani,4,Positif
Mantullll,5,Positif
Oke,5,Positif
Ngene 👍🏼,5,Positif
"Selamat pagi, kak saya mau tanya kenapa update ini saya gak bisa memulihkan akun saya karena gada kode yang masuk sms ataupun whatsapp, tolong perbaiki kak Soal nya saya lagi mau pake (kerja)",3,Netral
Minta diupdate Habis diupdate malah ga bisa masuk Keterangan pin salah Pdhl pin betul sesuai yg sblm diupdate,1,Negatif
Good joob .. apk krenddd,5,Positif
🥰🥰🥰🥰🥰🥰,5,Positif
MUDAH!!!,5,Positif
Mudah dan cepat sehingga dapat membantu saya dalam bisnis,5,Positif
Aplikasi nya gak bisa masuk segera Di proses,2,Negatif
"Aplikasi digital pengiriman via Pos Indonesia yang semakin memudahkan para pelanggannya. Maju terus Pos Indonesia, tingkatkan layananmu untuk negeri 👍👍",5,Positif
Mantap sat set,5,Positif
Aplikasi bagus banget,5,Positif
Aplikasi ini sangat Canggih... Memudahkan kita dalam melakukan pengiriman....,5,Positif
Ini gmn ya saya setelah updet ga bisa masuk apk pos aja pdahal sandinya benr ga ada yg salah,1,Negatif
Good job,5,Positif
Untuk apa di install kalau di arakan ke web juga ? Kurang kerjaan. Dan keterangan samain aja la sama expedisi lain gak bingung bacanya. Gak jelas paket sampao mana keteranganya.,1,Negatif
Mantap pertahankan & tingkatkan terus,5,Positif
Not recomended!!!!!!!,1,Negatif
terimakasih Pos baru pertama nyoba smoga berhasil..,5,Positif
mantap pos semakin ok,5,Positif
Ok,5,Positif
Terima kasih pt pos indonesia aplikasi ini sngat membantu,5,Positif
Fitur lengkap tambah top layanannya,5,Positif
Ok,5,Positif
bagus,5,Positif
"Pelayanannya Lelet...kurirnya juga sama lelet . Apa gajinya kecil ??? Kurir lain gercep pelayanan,",1,Negatif
Aplikasi kurir yg gooookkksss...,5,Positif
Ada satu paket saya kirim belum sampai sudah lebih 1 Minggu padahal nilai nominal lumayan Terpaksa bintang satu,1,Negatif
"aplikasi bagus, memudahkan mengirim paket",5,Positif
sangat luar biasa,5,Positif
Good job,5,Positif
"Untuk wilayah Jember Jatim, nama nama desa nya masih belum fix, tolong diperbaiki lagi",3,Netral
Pos aja seiplah,5,Positif
"POINNYA TIDAK BISA DIGUNAKAN, UDAH CAPE CAPE NGUMPULIN TIDAK BISA DIGUNAKAN, MOHON SEGERA UPDATE FITUR PIONNYA AGAR BISA DIGUNAKAN.",1,Negatif
mantap pos Indonesia jaya,5,Positif
Semoga tambah sepatu tepat dan amanah...mantap pos skrg,5,Positif
Mantap,5,Positif
Oke,5,Positif
bagus dan mudah diakses.. bravoo Pos Indonesia,5,Positif
okey,5,Positif
Pos Aja Mantab Pisan Euy,4,Positif
"Lebih mudah, layanan ditangan.",5,Positif
Keren,5,Positif
Aplikasi yang keren dan informatif,5,Positif
kirim paket jadi mudah,5,Positif
mantap dan mudah,4,Positif
Kiriman cepat dan aman,5,Positif
"Kurir sangat lambat dibandingkan kurir ekspedisi lain. Jasa lebih mahal tapi paket sampai 9 hari, yang lain cuma butuh 2-3 hari, area belitung & belitung timur",1,Negatif
"Memudahankan kita untk bertransaksi, makasih PT Pos 😁😁",5,Positif
Perbaiki dan terus maju,5,Positif
pelayanan ramah,3,Netral
Baik,5,Positif
Ok,4,Positif
"Mudah, cepat dan praktis",5,Positif
top,5,Positif
Mantappp👍👍👍,5,Positif
"Recommended, sangat membantu UMKM... Ditunggu Hadiah nya POS INDONESIA 🙏🏻😊",5,Positif
"sangat membantu, trimkasih",5,Positif
Mantap,5,Positif
"Posaja! Aplikasi dari PT. Pos Indonesia (persero) Memudahkan masyarakat untuk berkirim paket dgn layanan drop off ataupun layanan pickup , terimakasih posaja!",5,Positif
Mantab memudahkan pengiriman dan mengetahui harga kirim,5,Positif
mantab💜💕,2,Negatif
"Sudah menggunakan aplikasinya utk COD bayar ditempat lebih hemat dan pelayanan dari petugasnya ramah, petugas mau menjemput paket kerumah ketika fasilitas pick up tidak tersedia dijadwal tertentu sesuai yg kita inginkan bisa flexibel, Thanks Pos Indonesia dan citra petugas yg tidak ramah tsb tergantung individunya ya utk Pos Indonesia sudah semakin baik.",5,Positif
Mudah buat kirim COD dan Cek Ongkir,5,Positif
Pos aja mantap,5,Positif
Bagus,5,Positif
Good Job,5,Positif
Tak dapat melacak dr opsi riwayat,3,Netral
Mantap,5,Positif
"Saya pesan barang di ali exxpress dengan metode m bangking, dan suami saya tanya sama kurir katanya COD, dongo apa gimana ya koq ga jujur sudah jelas tertulis di situ sudah bayar kurirnya gimana sih",1,Negatif
Pos aja Jos,5,Positif
POS INDONESIA Adalah Terdepan Dalam Sejarah Indonesia.,5,Positif
terimakasih pos aja,5,Positif
Bagus bisa cepet kirim paketnya,5,Positif
mantap,5,Positif
Mantap,5,Positif
Mantab,5,Positif
mudah dan murah kirim paket jadi simple,5,Positif
Mantap,5,Positif
oke banget,5,Positif
memudahkan banget,5,Positif
"Mantaplah pos aja, aplikasi loading cepat...",5,Positif
Sejauh ini cukupp baguss pake poss.. mantaabs.. semoga maikin ditingkat kan fiturnya..,5,Positif
"Pengiriman sangat sangat buruk, pake pos ekspres kirim dokumen 3 hari masih ga sampe sampe",1,Negatif
Penugasan pickup memakan waktu berhari hari Order tanggal 1 sampai kini tanggal 3 belum juga di jemput petugas pickup Bahkan belum terdaftar resinya padahal sydah 3 hari Harap banget di tingkatkan lagi pelayaanan di aplikasinya,3,Netral
PosAja bisa membantu kalangan masyarakat menengah ke bawah. PosAja Indonesia banget,5,Positif
"Aplikasi nya bagus, cuma pelayanan nya kurang bermutu. Pake jasa next day nyampenya next week kocak. Tau gitu mending ngirim pake jasa yg lain",1,Negatif
keren... mempermudah syekaliii,5,Positif
best,5,Positif
aplikasi ini sangat membantu dalam pengiram barang,5,Positif
ok banget⭐,5,Positif
dulu awal tahun 2022 susah banget atur pickupnya sekarang sudah bisa semoga benar2 bisa kyk di Surabaya 🥹,5,Positif
"Cs nya payah, pengiriman lambat, sama kaya responnya",1,Negatif
Mantap,5,Positif
bagus,5,Positif
Kapan dana cod saya di cairkan.,3,Netral
Masih yang Terbaik... Tidak kalah dgn yg lain.. Banyak manfaat dan fasilitas,5,Positif
Sangat mudah & cepat....mantapzz👍👍,5,Positif
"Mantap dehh,pos sekarang keren bget kecepatan pengiriman Makasar kendari/konsel hanya 2 hari udah smpe dan langsung di antr.smga semakin maximal dalam pelayanan",5,Positif
daerah² tertentu masih belum maksimal pelayanan nya,3,Netral
"Rekomended aplikasinya, Mudah di gunakan, proses kiriman bisa sendiri lewat hp, datang ke kantor pos cuma tinggal bawa kiriman, kasih kode booking ke petugas kantor pos, bayar, ambil resi, selesai🥰 Maju terus kantor pos",5,Positif
Minta kode referal dong,3,Netral
"Pelayanan pengaduan sangat buruk, lemot, banyak bug, cs slow respon",1,Negatif
Pos Indonesia bagus,5,Positif
aplikasi yg memudahkan,5,Positif
wow,5,Positif
bagus,5,Positif
"Jadi gampang utk kirim kirim,g pake ribet",5,Positif
Keren,5,Positif
Makin se level dengan Swasta .lanjutkan inovasinya,4,Positif
"Kenapa Tiba2 Pos Ajah , nya Ngga Bisa di Buka Eror Terus",2,Negatif
Keren posaja,5,Positif
Bagus s3kali,4,Positif
Urusan online jadi lebih mudah,3,Netral
Pengiriman cepat tepat terpercaya,5,Positif
pos aja ok,5,Positif
"Keren,pos sdh mulai mengembangkan teknologi, dgn pos aja kita JD mudah u menggunakan jasa pos Indonesia, maju terus PT Pos Indonesia",5,Positif
Pengiriman cepat,5,Positif
Pelanggan lbh suka pakai post cod,5,Positif
"Loadingnya terlalu lama, input 1 resi durasi loadingnya bisa lebih dari 15 menit",1,Negatif
Sangat membantu pengusaha online,4,Positif
luaaar biasa,5,Positif
"Posaja mantap!ongkir murah, praktis aman,cepat dan percaya",5,Positif
Mudah sekali pengoprasiannya,5,Positif
"cepat, lebih mudah",5,Positif
keren,5,Positif
YukK Kirim Lewat Kantor Pos Petugasnya sama Kurirnya Ramah Banget Pelayanan Ok Memuaskan GaesS 🤩,5,Positif
sangat membantu,5,Positif
semakin mudah kirim lewat pos,5,Positif
"Detail proses krm paket sangat lengkap, dan jelas mudah di telusuri",5,Positif
mantap pol,5,Positif
Semoga bermanfaat,4,Positif
aplikasi bagus,5,Positif
Pos Aja Emang Oke,5,Positif
bagus sekali sangat membantu,5,Positif
ok,5,Positif
mantap aplikasi nya. bisa kirim kirim dari rumah,5,Positif
ayo majulah pos Indonesia,5,Positif
mantap,5,Positif
sangat puas,5,Positif
ayo pakai pos aja,5,Positif
Masih perlu penyempurnaan yang lebih simple lagi dan penambahan fitur fitur lainnya terkait layanan yang di sediakan sama PT Pos Indonesia,5,Positif
aplikasi membantu good👍,4,Positif
bagus,5,Positif
"Waaaa...kereenn banget PosAja, bisa kirim via HP , bisa dipick up pulak paket kita,,bisa cek posisi kiriman kita jugag, pokoknya nyaman dan asik,,semoga Pos makin jaya",5,Positif
app bagus,5,Positif
pelayanan semakin bagus...👍👍🙏,5,Positif
Ok,5,Positif
Ok,5,Positif
Mantap markotop,5,Positif
pos digital,5,Positif
Ok,5,Positif
d best,5,Positif
Mudah praktis dan tepat PT pos Indonesia jaya jaya jaya,5,Positif
kiriman praktis dan cepat,5,Positif
"mantap,proses mudah dan cepat..terima kasih pos aja",5,Positif
"kantor pos sekarang tambah modren..bs mengikuti zaman,digitalisasi.pkke joss..pos juaraa",5,Positif
Kita kecewa kenapa paketan sdh diterima pelanggan kita Tapi kurir lebih dr 24 jam juga laporannya masih belum terkirim?!!!! Tlg pelayanan komplain kita diperhatikan pak Manager Pos Mojokerto.,2,Negatif
sangat bagus,5,Positif
"Pakai Pos Aja,kiriman Paket,Surat, bisa langsung di pickup.",5,Positif
Pengiriman jadi lebih mudah melacaknya,5,Positif
mantab mudah dan nyaman,5,Positif
"mantap,,,semoga tambah baik untuk kedepannya",5,Positif
ok cukup memudahkan,5,Positif
mantap,5,Positif
jossss,5,Positif
ok,5,Positif
Pos juara,5,Positif
lbh simple dan bebas repot,5,Positif
sarana yg memudahkan untuk berkirim surat dan paket,4,Positif
Great apk,5,Positif
pelayanan premium,5,Positif
sangat membantu dalam pengiriman gak perlu repot keluar rumah,5,Positif
Mantap,5,Positif
Mantap betul aplikasinya bisa ngecek juga kiriman yg dipos sampai mana👍👍👍 aplikasi pos aja emang mantap lah is the best,5,Positif
"Payah, sama pengaduan masih isi form dari cs belum selesai malah chat berakhir 👎👎",1,Negatif
mudah dan simple,5,Positif
Pokoe jos banyak maanfaat ny,5,Positif
pengiriman cepat .akurat...makasih kurir pos,5,Positif
Sangat Memudahkan,5,Positif
"Woi pos indonesia kirim hp sdh bayar kilat khusus,sdh 1 bln paket belum saya terima,stlh di tanya,katanya pengiriman hp tdk bisa lewat pesawat,kalau mmg tdk bisa,kenapa JNE,J&T hp bisa naik pesawat,petugas pos biadab,bangsad,lewat jalur laut ternyata,..biar semua tau,saya akan masuk di media konsumen,kalau sdh viral,baru ada pembenahan,sya akan mengadu ke media konsumen,betapa bobroknya pegawai pos indonesia",1,Negatif
keren,5,Positif
layanan sangat baik dan teroercaya,5,Positif
aplikasinya kerennnn,5,Positif
mantul mantap betul,5,Positif
Aplikasi Posaja sangat ngebantu biar gak antri,5,Positif
aplikasih pos aja sangat membantu dan mudah gunakan,5,Positif
Memudahkan dalam berkirim surat atau paket,5,Positif
semakin mudah,5,Positif
Good,5,Positif
Membantu,5,Positif
Bagus bisa order lewat aplikasi paket di pickup,5,Positif
Nice App.,5,Positif
"Mudah,keren,cepat",5,Positif
"Mantap sangat membantu dan memuaskan, terima kasih pos Indonesia 👍👍👍",5,Positif
Aplikasi yg sangat membantu,5,Positif
"cepat,amanah,mudah,murah",5,Positif
Mantap semoga lebih bermanfaat kedepan nya,5,Positif
bagus membantu,5,Positif
good,5,Positif
"sgt bgs lynn pos aja,sgt mudah cepat & tepat",5,Positif
Ok,4,Positif
"dia aja pake pos aja,masa kita engga",5,Positif
sangat membantu,5,Positif
sangat bermanfaat dan mempermudah memakai layanan pos..,5,Positif
aplikasi yang membantu dalam pengiriman surat dan paket,5,Positif
mantap,5,Positif
mantaf,5,Positif
pos aja hebat,5,Positif
josss,5,Positif
Aplikasi yg bermanfaat dan membantu banget.saya mau anter paket.tapi kadang gx ada waktu buat kesana..sekarang gx perlu keluar lagi cukup pesan..langsung orangnya dateng buat ngambil..wow keren banget,5,Positif
mantap sangat membantu,5,Positif
"mudah,cepat",5,Positif
aplikasi pos aja memudahkan dalam pengiriman dokumen dan barang,5,Positif
Kantor Pos indonesia juara,5,Positif
Oke.....,5,Positif
Cepat dan mudah,5,Positif
"Mantap dahh pokoknya. Pengiriman barang kemanapun percayakan disini aja. Ada fitur komplen kalau udah lebih dari estimasi yang ditentukan, adminnya ramah dan baik bangt😁 pelayanan prima sih ini. Makasih yah barang saya aman smpai dengan selamat",5,Positif
"luarbiasa, layanannya ok",5,Positif
baru pertama kirim barang pakai pos,5,Positif
Ok banget...,5,Positif
Sangat praktis n permudah pelacakan n pickup,5,Positif
Mudah dan lengkap,5,Positif
Pulihkan akun Mulu knp sii ribettt kan,3,Netral
Mudah ya,5,Positif
Keren ....,5,Positif
Pos sekarang cepat sampai manstap,5,Positif
"Sangat mempermudah untuk mengirim paket, tanpa harus antri lama ....",5,Positif
pos selalu jaya!!!,5,Positif
Pos Aja ..Pos Ok Banget,5,Positif
baik,5,Positif
👍👍,5,Positif
good,5,Positif
good apk,5,Positif
KEREN BANGET SEGALA DI MUDAHKAN SAMA POS AJA,5,Positif
Anjaaaayyy,5,Positif
"Aplikasinya keren, bagus dan simple",5,Positif
Pos aja keren,5,Positif
memudahkan mengirim paket Keren POS AJA,5,Positif
Ok,5,Positif
aplikasi pos aja kedepannya semakin maju,5,Positif
mantap jiwa,5,Positif
mantap . lebih bagus dri app tetangga. cepat praktis murmer,5,Positif
aplikasi keren,5,Positif
sngat mudah dan terpercaya..👍👍👍,5,Positif
👍👍👍,5,Positif
sangat membantu sekali..memudahkan pengiriman,5,Positif
Jasa pengiriman yg memuaskan dengan layanan yg lengkap dan terjamin... mantap pokoknya 😍😍😍🙏🙏🙏,5,Positif
Keren habis pokoknya,5,Positif
"mantap,,pos selalu jaya",5,Positif
mudah dan bagi yg ingin kirim bisa juga lo di jemput tinggal tggu aja di rumah...,3,Netral
terimakasih,5,Positif
Mantaph..,5,Positif
Mantab..👍👍,5,Positif
"kirim paket jadi lebih mudah,dan gampang tidak perlu keluar rumah pokoke pos aja juara",5,Positif
Simpel dan cepet respon petugas pickupnya....jadi lebih leluasa ngurusi bisnis.....bisa langsung ada yg pickup. Keren,5,Positif
Semakin mudah kirim lewat pos,5,Positif
siipppp,5,Positif
LAYANANNN BURUKKKKKK,1,Negatif
pos aja jos,5,Positif
cepat dan mudah banget,5,Positif
simple dan praktis..,5,Positif
simple&cepat,3,Netral
wow keren canggig,5,Positif
Pos Aja OK Banget simple dan praktis,5,Positif
wow aplikasi ini sangat memudahkan transaksi di pos,5,Positif
praktis dan simple,5,Positif
memuaskan,5,Positif
Thank you PosAja!,5,Positif
Boss parfum suaka,5,Positif
RECOMMENDED Aplikasi Pos aja....kirim paket jadi lebih mudah. Apalagi bayar Reguler Rasa Next Day. Jakarta - Bekasi sehari sampai. Hari libur diantar pula. Kerennzz dehh...,5,Positif
POS INDONESIA Secepat kilat,5,Positif
Okey,5,Positif
Lebih praktis,5,Positif
pos aja oye,5,Positif
Mantap sekarang bisa order via online,5,Positif
kiriman cepat dan aman kurirnya ramah. makasih kantor pos,5,Positif
"Mudah , praktis , murah",5,Positif
apik banget,5,Positif
lebih ringkas,5,Positif
Mantap dan lebih efisien dan cepat 💯% Good👍👍👍,5,Positif
Baik lebih cepat amanah,5,Positif
Pengiriman barang di POS AJA sangat praktis dan murah,5,Positif
Bagus,5,Positif
suka banget,5,Positif
semangat,5,Positif
pos indonesia juaraaaaa dah pkke... 👍👌,5,Positif
mantaf,5,Positif
pos mantap pos Hebat pelayan apa saja Bisa dikantor pos,5,Positif
terpaksa sering buat akun jika terlupa atau tdk dipakai dlm beberapa hari...saat pemulihan tdk bisa masuk ke SMS padahal no aktif...ke wa pun kdg tdk masuk,2,Negatif
Aplikasinya sangat membantu,5,Positif
ajib pisan,5,Positif
cepat tepat dan terpercaya,5,Positif
"pos aja mantaap,...simplendan mudah",5,Positif
aplikasinya bagus dan mudah digunakan,5,Positif
